"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8484","PD-550-551-556-557 Bucket overview - Search, Copy, Delete object","","Thu Dec 25 17:27:36 PKT 2025","passed","Thu Dec 25 17:27:45 PKT 2025","","22.Object Storage Tests","",""
"","5378","Редактировать конфигурацию сервера (не латиница)","","Thu Dec 25 15:20:16 PKT 2025","passed","Thu Dec 25 15:20:21 PKT 2025","","4.Servers - Configuration tab","",""
"","16414","[PD-708] Deleting any HDD disk out of 10 or all of them","","Thu Dec 25 15:41:33 PKT 2025","passed","Thu Dec 25 15:41:50 PKT 2025","","6.Servers - Disks tab Part1","",""
"","13262","PD-562-563-564 View Object - Enable, Disable Public rights, Delete in View Object","","Thu Dec 25 17:28:09 PKT 2025","passed","Thu Dec 25 17:28:22 PKT 2025","","22.Object Storage Tests","",""
"","10176","[PD-167] Загрузить новый пользовательский образ (с указанием минимальных параметров)","","Thu Dec 25 17:03:28 PKT 2025","failed","Thu Dec 25 17:03:38 PKT 2025","","21.Custom Templates Tests","",""
"","35129","[PD-96] Запуск","","Thu Dec 25 15:21:18 PKT 2025","passed","Thu Dec 25 15:21:53 PKT 2025","","5.Servers - Actions","",""
"","8185","Добавить сеть (С неправильным IP)","","Thu Dec 25 16:03:08 PKT 2025","passed","Thu Dec 25 16:03:16 PKT 2025","","9.Servers - Local Network tab","",""
"","18794","PD-81 Добавить расписание (С Час)","","Thu Dec 25 16:26:14 PKT 2025","passed","Thu Dec 25 16:26:32 PKT 2025","","12.Servers - Schedule Backup tab","",""
"","8153","[PD-448] Create - LB with empty ports (unsuccessful)","","Thu Dec 25 16:39:33 PKT 2025","passed","Thu Dec 25 16:39:41 PKT 2025","","14.Load Balancer Tests","",""
"","5402","[PD-671] Изменить имя диска NVME (не латиница)","","Thu Dec 25 15:53:03 PKT 2025","passed","Thu Dec 25 15:53:09 PKT 2025","","7.Servers - Disks tab Part2","",""
"","7380","[PD-735] Attach any SSD disk to VM up to 10","","Thu Dec 25 15:43:14 PKT 2025","passed","Thu Dec 25 15:43:21 PKT 2025","","6.Servers - Disks tab Part1","",""
"","14237","PD-78 Добавить сеть (Без перезагрузки сервера)  должен появиться НЕ свободным в списке публичных сетей","","Thu Dec 25 16:16:36 PKT 2025","passed","Thu Dec 25 16:16:51 PKT 2025","","10.Servers - Public IPs tab","",""
"","18448","PD-542 Creating bucket for Block access mode","","Thu Dec 25 17:29:14 PKT 2025","passed","Thu Dec 25 17:29:32 PKT 2025","","22.Object Storage Tests","",""
"","7453","[PD-150] Создать диск (HDD)","","Thu Dec 25 16:54:21 PKT 2025","passed","Thu Dec 25 16:54:28 PKT 2025","","19.Disks Tests","",""
"","9396","[PD-98] Пауза","","Thu Dec 25 15:22:27 PKT 2025","passed","Thu Dec 25 15:22:37 PKT 2025","","5.Servers - Actions","",""
"","4587","Редактировать конфигурацию сервера ( RAM - математическый символ )","","Thu Dec 25 15:20:50 PKT 2025","passed","Thu Dec 25 15:20:54 PKT 2025","","4.Servers - Configuration tab","",""
"","13968","PD-527 User Agreement link validation","","Thu Dec 25 17:24:21 PKT 2025","passed","Thu Dec 25 17:24:35 PKT 2025","","22.Object Storage Tests","",""
"","10984","[PD-823] Create - LB with another set of ports that are in use already (unsuccessful)","","Thu Dec 25 16:39:41 PKT 2025","passed","Thu Dec 25 16:39:52 PKT 2025","","14.Load Balancer Tests","",""
"","10061","PD-528 Price List link validation","","Thu Dec 25 17:24:35 PKT 2025","passed","Thu Dec 25 17:24:45 PKT 2025","","22.Object Storage Tests","",""
"","8795","PD-769-772 Versions tab - Versioning tests","","Thu Dec 25 17:20:21 PKT 2025","failed","Thu Dec 25 17:20:29 PKT 2025","","22.Object Storage Tests","",""
"","4806","[PD-667] Изменить имя диска NVME (пустое называние)","","Thu Dec 25 15:52:42 PKT 2025","passed","Thu Dec 25 15:52:47 PKT 2025","","7.Servers - Disks tab Part2","",""
"","8283","Добавить диск (Размер превышает лимит)","","Thu Dec 25 15:37:21 PKT 2025","passed","Thu Dec 25 15:37:29 PKT 2025","","6.Servers - Disks tab Part1","",""
"","4638","Поиск серверов по называнию","","Thu Dec 25 16:36:37 PKT 2025","passed","Thu Dec 25 16:36:42 PKT 2025","","13.Servers list Tests ","",""
"","13066","[PD-733] Detach any NVME disk out of 10","","Thu Dec 25 15:44:52 PKT 2025","passed","Thu Dec 25 15:45:05 PKT 2025","","6.Servers - Disks tab Part1","",""
"","16933","Добавить сеть ( Без перезагрузки сервера)","","Thu Dec 25 16:02:44 PKT 2025","passed","Thu Dec 25 16:03:01 PKT 2025","","9.Servers - Local Network tab","",""
"","4775","PD-459 Creating DNS with valid addess","","Thu Dec 25 16:42:43 PKT 2025","passed","Thu Dec 25 16:42:48 PKT 2025","","17.Networks - Dns tab","",""
"","9162","PD-588 Delete Private bucket","","Thu Dec 25 17:21:21 PKT 2025","failed","Thu Dec 25 17:21:30 PKT 2025","","22.Object Storage Tests","",""
"","6384","PD-462 Creating DNS with existing adress (unsuccessful)","","Thu Dec 25 16:42:57 PKT 2025","passed","Thu Dec 25 16:43:04 PKT 2025","","17.Networks - Dns tab","",""
"","20610","PD-85 Добавить расписание (С Год)","","Thu Dec 25 16:27:27 PKT 2025","passed","Thu Dec 25 16:27:48 PKT 2025","","12.Servers - Schedule Backup tab","",""
"","17733","Если в списке есть сервер, в статусе Новый, то невозможно зайти в его детали","","Thu Dec 25 16:29:52 PKT 2025","failed","Thu Dec 25 16:30:10 PKT 2025","","13.Servers list Tests ","",""
"","7170","[PD-705] Renaming any HDD disk out of 10 (successful)","","Thu Dec 25 15:40:51 PKT 2025","passed","Thu Dec 25 15:40:58 PKT 2025","","6.Servers - Disks tab Part1","",""
"","5156","[PD-677] Увеличить NVME диск автоматически - С перезагрузкой серверa (0)","","Thu Dec 25 15:54:55 PKT 2025","passed","Thu Dec 25 15:55:01 PKT 2025","","7.Servers - Disks tab Part2","",""
"","14794","Отвязать сеть","","Thu Dec 25 16:04:20 PKT 2025","passed","Thu Dec 25 16:04:35 PKT 2025","","9.Servers - Local Network tab","",""
"","10737","[PD-824] Edit - editing LB Name and Description with valid data","","Thu Dec 25 16:40:38 PKT 2025","passed","Thu Dec 25 16:40:48 PKT 2025","","14.Load Balancer Tests","",""
"","7757","[PD-706] Renaming any SSD disk out of 10 (successful)","","Thu Dec 25 15:42:36 PKT 2025","passed","Thu Dec 25 15:42:44 PKT 2025","","6.Servers - Disks tab Part1","",""
"","18518","[PD-493], [PD-499] Creating security group with outbound rule (Accept/Reject -> Protocal: Any, with valid port and IP)","","Thu Dec 25 16:46:25 PKT 2025","failed","Thu Dec 25 16:46:44 PKT 2025","","18.Security Groups Tests","",""
"","11224","[PD-170] Создать сервер с загруженным пользовательским образом","","Thu Dec 25 17:03:44 PKT 2025","passed","Thu Dec 25 17:03:55 PKT 2025","","21.Custom Templates Tests","",""
"","4017","PD-465 X icon while adding DNS","","Thu Dec 25 16:43:04 PKT 2025","passed","Thu Dec 25 16:43:08 PKT 2025","","17.Networks - Dns tab","",""
"","10357","PD-750 Delete Block bucket","","Thu Dec 25 17:21:00 PKT 2025","failed","Thu Dec 25 17:21:11 PKT 2025","","22.Object Storage Tests","",""
"","8034","Удалить диск (когда сервер не остановлен)","","Thu Dec 25 15:37:45 PKT 2025","failed","Thu Dec 25 15:37:53 PKT 2025","","6.Servers - Disks tab Part1","",""
"","15660","PD-540 Creating bucket for Public-full access mode","","Thu Dec 25 17:28:39 PKT 2025","passed","Thu Dec 25 17:28:55 PKT 2025","","22.Object Storage Tests","",""
"","13408","[PD-24] Создать новый сервер с неправильными ресурсами (SSD Disk негативное число)","","Thu Dec 25 15:16:41 PKT 2025","passed","Thu Dec 25 15:16:54 PKT 2025","","3.Create Server Tests Part2","",""
"","4031","[PD-6] Вход в аккаунт (не правильный логин или пароль)","","Thu Dec 25 14:59:33 PKT 2025","passed","Thu Dec 25 14:59:37 PKT 2025","","1.Login Tests","",""
"","4433","Удалить диск","","Thu Dec 25 15:58:03 PKT 2025","passed","Thu Dec 25 15:58:08 PKT 2025","","8.Servers - Disks tab Part3","",""
"","4581","[PD-695] Изменить имя диска NVME - кнопка «Отмена»","","Thu Dec 25 15:52:38 PKT 2025","passed","Thu Dec 25 15:52:42 PKT 2025","","7.Servers - Disks tab Part2","",""
"","5280","[PD-682] Увеличить NVME диск вручную - Без перезагрузки сервера (0)","","Thu Dec 25 15:53:38 PKT 2025","passed","Thu Dec 25 15:53:43 PKT 2025","","7.Servers - Disks tab Part2","",""
"","17520","PD-83 Добавить расписание (С Неделя)","","Thu Dec 25 16:26:51 PKT 2025","passed","Thu Dec 25 16:27:08 PKT 2025","","12.Servers - Schedule Backup tab","",""
"","5557","Редактировать конфигурацию сервера ( RAM - превышает лимит )","","Thu Dec 25 15:20:55 PKT 2025","passed","Thu Dec 25 15:21:00 PKT 2025","","4.Servers - Configuration tab","",""
"","16521","[PD-29] Создать новый сервер с 0 копией Бэкапа","","Thu Dec 25 15:16:06 PKT 2025","passed","Thu Dec 25 15:16:22 PKT 2025","","3.Create Server Tests Part2","",""
"","1834","[PD-2] Вход в аккаунт (успешно)","","Thu Dec 25 14:59:46 PKT 2025","passed","Thu Dec 25 14:59:47 PKT 2025","","1.Login Tests","",""
"","10733","[PD-822] Create - LB with symbols (unsuccessful))","","Thu Dec 25 16:39:04 PKT 2025","passed","Thu Dec 25 16:39:15 PKT 2025","","14.Load Balancer Tests","",""
"","7816","Удалить сервер, имеющим бекапы. (должен появиться запрет и предупреждение)","","Thu Dec 25 15:20:21 PKT 2025","passed","Thu Dec 25 15:20:29 PKT 2025","","4.Servers - Configuration tab","",""
"","14365","PD-553 Bucket overview - Move selected object to another bucket","","Thu Dec 25 17:26:45 PKT 2025","passed","Thu Dec 25 17:26:59 PKT 2025","","22.Object Storage Tests","",""
"","16404","Привязать Диск (для этого должен быть в наличии свободный глобальный диск)","","Thu Dec 25 15:38:02 PKT 2025","passed","Thu Dec 25 15:38:19 PKT 2025","","6.Servers - Disks tab Part1","",""
"","8252","[PD-693] Создать NVME диск (только цифры)","","Thu Dec 25 15:52:24 PKT 2025","passed","Thu Dec 25 15:52:32 PKT 2025","","7.Servers - Disks tab Part2","",""
"","19135","PD-752 Creating bucket for Block + Versioning combined modes","","Thu Dec 25 17:29:33 PKT 2025","failed","Thu Dec 25 17:29:52 PKT 2025","","22.Object Storage Tests","",""
"","9321","[PD-470] Creating group with existing group name (unsuccessful)","","Thu Dec 25 16:45:15 PKT 2025","failed","Thu Dec 25 16:45:24 PKT 2025","","18.Security Groups Tests","",""
"","5869","[PD-680] Увеличить NVME диск вручную - Без перезагрузки сервера (математические символы)","","Thu Dec 25 15:53:26 PKT 2025","passed","Thu Dec 25 15:53:32 PKT 2025","","7.Servers - Disks tab Part2","",""
"","4390","Увеличить размер диска (Размер превышает лимит)","","Thu Dec 25 15:57:38 PKT 2025","failed","Thu Dec 25 15:57:42 PKT 2025","","8.Servers - Disks tab Part3","",""
"","12891","Добавить сеть ( С перезагрузкой сервера )","","Thu Dec 25 16:02:31 PKT 2025","passed","Thu Dec 25 16:02:44 PKT 2025","","9.Servers - Local Network tab","",""
"","38903","Отвязать диск и убедиться, что он появился в разделе глобальных дисков","","Thu Dec 25 15:39:28 PKT 2025","passed","Thu Dec 25 15:40:07 PKT 2025","","6.Servers - Disks tab Part1","",""
"","11656","PD-193 Восстановить бэкап","","Thu Dec 25 17:02:47 PKT 2025","passed","Thu Dec 25 17:02:58 PKT 2025","","20.Backups Tests","",""
"","18210","[PD-23] Создать новый сервер с неправильными ресурсами (SSD Disk больше лимита)","","Thu Dec 25 15:16:22 PKT 2025","passed","Thu Dec 25 15:16:41 PKT 2025","","3.Create Server Tests Part2","",""
"","9413","[PD-728] Marking any HDD disk out of 10 as a Boot Disk","","Thu Dec 25 15:41:07 PKT 2025","passed","Thu Dec 25 15:41:17 PKT 2025","","6.Servers - Disks tab Part1","",""
"","9590","PD-529 Terms Of Service link validation","","Thu Dec 25 17:24:46 PKT 2025","passed","Thu Dec 25 17:24:55 PKT 2025","","22.Object Storage Tests","",""
"","6434","[PD-687] Привязать NVME диск к BM","","Thu Dec 25 15:55:47 PKT 2025","passed","Thu Dec 25 15:55:54 PKT 2025","","7.Servers - Disks tab Part2","",""
"","5072","[PD-672] Изменить имя диска NVME (только цифры)","","Thu Dec 25 15:53:09 PKT 2025","passed","Thu Dec 25 15:53:14 PKT 2025","","7.Servers - Disks tab Part2","",""
"","6577","Удалить сервер с публичным IP. (должна появиться галка об отключении IP)","","Thu Dec 25 15:19:52 PKT 2025","passed","Thu Dec 25 15:19:58 PKT 2025","","4.Servers - Configuration tab","",""
"","8582","[PD-61] Пометить второй диск как загрузочный. (первый должен стать не загрузочным)","","Thu Dec 25 15:56:50 PKT 2025","passed","Thu Dec 25 15:56:58 PKT 2025","","8.Servers - Disks tab Part3","",""
"","13676","[PD-730] Marking any NVME disk out of 10 as a Boot Disk","","Thu Dec 25 15:44:38 PKT 2025","passed","Thu Dec 25 15:44:51 PKT 2025","","6.Servers - Disks tab Part1","",""
"","8827","PD-751, 774 Delete Versioning and Block combined bucket","","Thu Dec 25 17:21:11 PKT 2025","failed","Thu Dec 25 17:21:20 PKT 2025","","22.Object Storage Tests","",""
