case_id,title,suite,suite_id,assignee,time_spent_ms,status,finish_time,steps,steps_input_data,steps_expected_result,steps_status,steps_comments,comment,stacktrace,priority,severity,automation,type,tags,is_muted,case_parameter
300,"Changing interface to EN","Login Page",32,"Sergey Tikhomirov",4568,Passed,"2025-07-13 18:15:35",,,,,,,,Medium,Normal,Manual,Other,,false,
301,"Changing interface to RU","Login Page",32,"Sergey Tikhomirov",3435,Passed,"2025-07-13 18:15:39",,,,,,,,Medium,Normal,Manual,Other,,false,
302,"Click 'Book' button on banner","Login Page",32,"Sergey Tikhomirov",4798,Passed,"2025-07-13 18:15:46",,,,,,,,Medium,Normal,Manual,Other,,false,
307,"Forgot Password - clicking X icon","Login Page",32,"Sergey Tikhomirov",2439,Passed,"2025-07-13 18:15:49",,,,,,,,Medium,Normal,Manual,Other,,false,
166,"Загрузить новый пользовательский образ (Нет называние)","Пользовательские образы",18,"Sergey Tikhomirov",0,unknown,,,,,,,,,"Not set",Normal,Automated,Other,,false,
527,"User Agreement link","Object Storage",37,,0,unknown,,,,,,,,,Low,Normal,Manual,Other,,false,
528,"Price List link","Object Storage",37,,0,unknown,,,,,,,,,Low,Normal,Manual,Other,,false,
529,"Terms of Service link","Object Storage",37,,0,unknown,,,,,,,,,Low,Normal,Manual,Other,,false,
530,"AWS CLI installation guide link","Object Storage",37,,0,unknown,,,,,,,,,Low,Normal,Manual,Other,,false,
531,"Creating bucket with valid name (successful)","Object Storage",37,,0,unknown,,,,,,,,,High,Normal,Manual,Other,,false,
532,"Creating bucket with uppercase letter name (unsuccessful)","Object Storage",37,,0,unknown,,,,,,,,,Medium,Normal,Manual,Other,,false,
533,"Creating bucket with Cyrilic name (unsuccessful)","Object Storage",37,,0,unknown,,,,,,,,,Medium,Normal,Manual,Other,,false,
534,"Creating bucket with less than min length name (unsuccessful)","Object Storage",37,,0,unknown,,,,,,,,,Medium,Normal,Manual,Other,,false,
535,"Creating bucket with empty name (unsuccessful)","Object Storage",37,,0,unknown,,,,,,,,,Medium,Normal,Manual,Other,,false,
536,"Creating bucket with existing bucket's name (unsuccessful)","Object Storage",37,,0,unknown,,,,,,,,,Medium,Normal,Manual,Other,,false,
537,"Creating bucket with math symbols/space name (unsuccessful)","Object Storage",37,,0,unknown,,,,,,,,,Medium,Normal,Manual,Other,,false,
538,"Creating bucket for Private mode","Object Storage",37,,0,unknown,,,,,,,,,High,Normal,Manual,Other,,false,
539,"Creating bucket for Public-read mode","Object Storage",37,,0,unknown,,,,,,,,,High,Normal,Manual,Other,,false,
540,"Creating bucket for Public-full access mode","Object Storage",37,,0,unknown,,,,,,,,,High,Normal,Manual,Other,,false,
